title,token,no_stopwords,processed,emoji,mention,hashtag,jumlah_emoji,jumlah_mention,jumlah_hashtag
ajak aku dongg,"[ajak, aku, dongg]","[ajak, aku, dongg]",ajak aku dongg,,,,0,0,0
"Ginian aja.. toh banyak orang luar sana pindah Jadi WNI, lah masak Ad WNI mau pindah ke negara lain gak boleh...
Walaupun Mereka pindah negara tapi hati mereka Tetep NKRI.","[ginian, aja, toh, banyak, orang, luar, sana, pindah, jadi, wni, lah, masak, ad, wni, mau, pindah, ke, negara, lain, gak, boleh, walaupun, mereka, pindah, negara, tapi, hati, mereka, tetep, nkri]","[ginian, banyak, orang, luar, sana, pindah, wni, lah, masak, ad, wni, mau, pindah, negara, walaupun, pindah, negara, hati, tetep, nkri]",ginian banyak orang luar sana pindah wni lah masak ad wni mau pindah negara walaupun pindah negara hati tetep nkri,,,,0,0,0
"kalian pejabat aja liburan ke luar negri... study banding,, study tour...","[kalian, pejabat, aja, liburan, ke, luar, negri, study, banding, study, tour]","[kalian, pejabat, liburan, luar, negri, study, banding, study, tour]",kalian jabat libur luar negri study banding study tour,,,,0,0,0
😁,[],[],,😁,,,1,0,0
mending kalo sudah pindah jgn balik lagi mumet,"[mending, kalo, sudah, pindah, jgn, balik, lagi, mumet]","[mending, kalo, pindah, jgn, balik, mumet]",mending kalo pindah jgn balik mumet,,,,0,0,0
bkn g nasionalisme pak klo perut lapar mah beda lg pak😎,"[bkn, g, nasionalisme, pak, klo, perut, lapar, mah, beda, lg, pak]","[bkn, g, nasionalisme, pak, klo, perut, lapar, mah, beda, lg, pak]",bkn g nasionalisme pak klo perut lapar mah beda lg pak,😎,,,1,0,0
"realistis aja sih
gaji guru 500rb/ bln gak cukup buat makan sebulan pak🙏😭😔","[realistis, aja, sih, gaji, guru, rb, bln, gak, cukup, buat, makan, sebulan, pak]","[realistis, gaji, guru, rb, bln, cukup, buat, makan, sebulan, pak]",realistis gaji guru rb bln cukup buat makan bulan pak,🙏😭😔,,,3,0,0
dulu bos nya jg kabur keluar negeri gak pulang² 😂🤣,"[dulu, bos, nya, jg, kabur, keluar, negeri, gak, pulang²]","[dulu, bos, jg, kabur, keluar, negeri, pulang²]",dulu bos jg kabur keluar negeri pulang,😂🤣,,,2,0,0
"cba yang kaya kasih gue duit,mau keluar negri nih😔😔😔😔😔😔","[cba, yang, kaya, kasih, gue, duit, mau, keluar, negri, nih]","[cba, kaya, kasih, duit, mau, keluar, negri]",cba kaya kasih duit mau keluar negri,😔😔😔😔😔😔,,,6,0,0
ayo kita ke jepang ...,"[ayo, kita, ke, jepang]","[ayo, ke, jepang]",ayo ke jepang,,,,0,0,0
la aku gak punya nasionalisme 😅,"[la, aku, gak, punya, nasionalisme]","[la, aku, punya, nasionalisme]",la aku punya nasionalisme,😅,,,1,0,0
pernyataan dari orang sipaling nasionalisme ☝🏼🤪,"[pernyataan, dari, orang, sipaling, nasionalisme]","[pernyataan, orang, sipaling, nasionalisme]",nyata orang sipaling nasionalisme,☝🏼🤪,,,3,0,0
Kemarin buat heboh gas..skrg meragukan nasionalisme anak muda devisa negara..,"[kemarin, buat, heboh, gas, skrg, meragukan, nasionalisme, anak, muda, devisa, negara]","[kemarin, buat, heboh, gas, skrg, meragukan, nasionalisme, anak, muda, devisa, negara]",kemarin buat heboh gas skrg ragu nasionalisme anak muda devisa negara,,,,0,0,0
pura2 ga denger ajh ajh . 😅😅😅,"[pura, ga, denger, ajh, ajh]","[pura, denger, ajh, ajh]",pura denger ajh ajh,😅😅😅,,,3,0,0
yg korup korup itu ditanya nasionalisme nya bukan yg pindah luar negri,"[yg, korup, korup, itu, ditanya, nasionalisme, nya, bukan, yg, pindah, luar, negri]","[korup, korup, ditanya, nasionalisme, bukan, pindah, luar, negri]",korup korup tanya nasionalisme bukan pindah luar negri,,,,0,0,0
q juga bodo amat kok😂,"[q, juga, bodo, amat, kok]","[q, bodo]",q bodo,😂,,,1,0,0
bahlil jabatannya apa ya,"[bahlil, jabatannya, apa, ya]","[bahlil, jabatannya, apa]",bahlil jabat apa,,,,0,0,0
"terus yang korup uang negara,sumber daya alam di terus buat kepentingan pribadi dan golongannya apa dia nasionalis","[terus, yang, korup, uang, negara, sumber, daya, alam, di, terus, buat, kepentingan, pribadi, dan, golongannya, apa, dia, nasionalis]","[terus, korup, uang, negara, sumber, daya, alam, terus, buat, kepentingan, pribadi, golongannya, apa, nasionalis]",terus korup uang negara sumber daya alam terus buat penting pribadi golong apa nasionalis,,,,0,0,0
apakah koruptor yg di bela kalian punya rasa nasionalisme?,"[apakah, koruptor, yg, di, bela, kalian, punya, rasa, nasionalisme]","[koruptor, bela, kalian, punya, rasa, nasionalisme]",koruptor bela kalian punya rasa nasionalisme,,,,0,0,0
Di konoha kita dipelihara miskin sesuai pasal 34 UUD 45,"[di, konoha, kita, dipelihara, miskin, sesuai, pasal, uud]","[konoha, dipelihara, miskin, sesuai, pasal, uud]",konoha pelihara miskin sesuai pasal uud,,,,0,0,0
##Turunkan Dahlil ###,[dahlil],[dahlil],dahlil,,,#turunkan,0,0,1
akan saya pastikan tahun ini jika masih belum dapat kerja😭otw ikut kabur aja dulu🤡,"[akan, saya, pastikan, tahun, ini, jika, masih, belum, dapat, kerjaotw, ikut, kabur, aja, dulu]","[saya, pastikan, tahun, jika, belum, kerjaotw, ikut, kabur, dulu]",saya pasti tahun jika belum kerjaotw ikut kabur dulu,😭🤡,,,2,0,0
kabur aja dulu 🥰🥰🥰,"[kabur, aja, dulu]","[kabur, dulu]",kabur dulu,🥰🥰🥰,,,3,0,0
Pak bahlli umurku udh 53thn masih bertahan ditaiwan untuk merubah keluarga yg ada diindo,"[pak, bahlli, umurku, udh, thn, masih, bertahan, ditaiwan, untuk, merubah, keluarga, yg, ada, diindo]","[pak, bahlli, umurku, thn, bertahan, ditaiwan, merubah, keluarga, diindo]",pak bahlli umur thn tahan ditaiwan rubah keluarga diindo,,,,0,0,0
🥺🥺🥺,[],[],,🥺🥺🥺,,,3,0,0
"ketua umum Golkar sekalian mentri yg
Ter Bahlil Bahlil 🤣🤣🤣","[ketua, umum, golkar, sekalian, mentri, yg, ter, bahlil, bahlil]","[ketua, umum, golkar, sekalian, mentri, ter, bahlil, bahlil]",ketua umum golkar sekali tri ter bahlil bahlil,🤣🤣🤣,,,3,0,0
"Tidak ada kata nasionalisme , dimana bakat kita di hrgai di situ lh kita bertempat😬💪","[tidak, ada, kata, nasionalisme, dimana, bakat, kita, di, hrgai, di, situ, lh, kita, bertempat]","[ada, kata, nasionalisme, bakat, hrgai, di, situ, lh, bertempat]",ada kata nasionalisme bakat hrgai di situ lh tempat,😬💪,,,2,0,0
yg membuat kerugian negara juga dong harus dipertanyakan nasionalisme nya???,"[yg, membuat, kerugian, negara, juga, dong, harus, dipertanyakan, nasionalisme, nya]","[membuat, kerugian, negara, dong, dipertanyakan, nasionalisme]",buat rugi negara dong tanya nasionalisme,,,,0,0,0
Bahlul🗿,[bahlul],[bahlul],bahlul,🗿,,,1,0,0
salah siape keje di indo tak Ade pindahlah,"[salah, siape, keje, di, indo, tak, ade, pindahlah]","[salah, siape, keje, indo, tak, ade, pindahlah]",salah siape keje indo tak ade pindah,,,,0,0,0
LIHAT DIRI SENDIRI PARA PEJABAT DI JAKARTA SANA JANGAN ASAL NGUAP KAYAK GINI !,"[lihat, diri, sendiri, para, pejabat, di, jakarta, sana, jangan, asal, nguap, kayak, gini]","[lihat, diri, sendiri, pejabat, jakarta, sana, jangan, asal, nguap, kayak, gini]",lihat diri sendiri jabat jakarta sana jangan asal nguap kayak gin,,,,0,0,0
nasionalis klo jdi penangguran di negara sendiri untuk ap?,"[nasionalis, klo, jdi, penangguran, di, negara, sendiri, untuk, ap]","[nasionalis, klo, jdi, penangguran, negara, sendiri, ap]",nasionalis klo jdi penangguran negara sendiri ap,,,,0,0,0
"#kaburajadulu, nanti baru dia kita ragukan","[nanti, baru, dia, kita, ragukan]","[baru, kita, ragukan]",baru kita ragu,,,#kaburajadulu,0,0,1
"ketika Gerindra berkuasa, disitulah rakyat sengsara 🤣🤣🤣","[ketika, gerindra, berkuasa, disitulah, rakyat, sengsara]","[gerindra, berkuasa, disitulah, rakyat, sengsara]",gerindra kuasa situ rakyat sengsara,🤣🤣🤣,,,3,0,0
"bukannya dicari, ditelusuri penyebab orang-orang milih pindah ke luar negeri. Main nyalahin rakyat aja, Intropeksi diri lah sekali-kali","[bukannya, dicari, ditelusuri, penyebab, orang, orang, milih, pindah, ke, luar, negeri, main, nyalahin, rakyat, aja, intropeksi, diri, lah, sekali, kali]","[bukannya, dicari, ditelusuri, penyebab, orang, orang, milih, pindah, luar, negeri, main, nyalahin, rakyat, intropeksi, diri, lah, sekali]",bukan cari telusur sebab orang orang milih pindah luar negeri main nyalahin rakyat intropeksi diri lah sekali,,,,0,0,0
boleh ikut bang....,"[boleh, ikut, bang]","[ikut, bang]",ikut bang,,,,0,0,0
Los ra urus!,"[los, ra, urus]","[los, ra, urus]",los ra urus,,,,0,0,0
nasionalisme ya?Bahlil dan seluruh jajaran pemerintah gak usah digaji dan tidak ambil tunjang bisa gak?biar rakyat tau nasionalisme pejabat itu setinggi apa,"[nasionalisme, ya, bahlil, dan, seluruh, jajaran, pemerintah, gak, usah, digaji, dan, tidak, ambil, tunjang, bisa, gak, biar, rakyat, tau, nasionalisme, pejabat, itu, setinggi, apa]","[nasionalisme, bahlil, seluruh, jajaran, pemerintah, usah, digaji, tidak, ambil, tunjang, biar, rakyat, nasionalisme, pejabat, setinggi, apa]",nasionalisme bahlil seluruh jajar perintah usah gaji tidak ambil tunjang biar rakyat nasionalisme jabat setinggi apa,,,,0,0,0
"yang dikit² ngomong nasionalis, NKRI...malah banyak ketangkap KPK","[yang, dikit², ngomong, nasionalis, nkri, malah, banyak, ketangkap, kpk]","[dikit², ngomong, nasionalis, nkri, malah, banyak, ketangkap, kpk]",dikit ngomong nasionalis nkri malah banyak tangkap kpk,,,,0,0,0
"kalau kalian berpikir makan uang rakyat tanpa mikirin kesejahteraan rakyat, kami lebih meragukan nasionalisme kalian.","[kalau, kalian, berpikir, makan, uang, rakyat, tanpa, mikirin, kesejahteraan, rakyat, kami, lebih, meragukan, nasionalisme, kalian]","[kalau, kalian, berpikir, makan, uang, rakyat, mikirin, kesejahteraan, rakyat, lebih, meragukan, nasionalisme, kalian]",kalau kalian pikir makan uang rakyat mikirin sejahtera rakyat lebih ragu nasionalisme kalian,,,,0,0,0
Bahlil universitas mana,"[bahlil, universitas, mana]","[bahlil, universitas, mana]",bahlil universitas mana,,,,0,0,0
Jagan ragukan nasionalisme yg pindah keluar negeri tapi ragukan kinerja bapak sendiri,"[jagan, ragukan, nasionalisme, yg, pindah, keluar, negeri, tapi, ragukan, kinerja, bapak, sendiri]","[jagan, ragukan, nasionalisme, pindah, keluar, negeri, ragukan, kinerja, bapak, sendiri]",jagan ragu nasionalisme pindah keluar negeri ragu kerja bapak sendiri,,,,0,0,0
"takut kehilangan pajak...jdi ketauan nti deh...klw negara hidup dri memeras rkytnya..kyak jaman Belanda.,bhkn lebih prah..","[takut, kehilangan, pajak, jdi, ketauan, nti, deh, klw, negara, hidup, dri, memeras, rkytnya, kyak, jaman, belanda, bhkn, lebih, prah]","[takut, kehilangan, pajak, jdi, ketauan, nti, klw, negara, hidup, dri, memeras, rkytnya, kyak, jaman, belanda, bhkn, lebih, prah]",takut hilang pajak jdi tau nti klw negara hidup dri peras rkytnya kyak jaman belanda bhkn lebih prah,,,,0,0,0
😞😞😞,[],[],,😞😞😞,,,3,0,0
😂😂😂,[],[],,😂😂😂,,,3,0,0
"Pejabat Ngomong kaya gini, pdhl mereka takut..... takut ga kepilih lg,,,,🤣🤣anak muda, orang tua pd ke LN...#Kaburajadulu","[pejabat, ngomong, kaya, gini, pdhl, mereka, takut, takut, ga, kepilih, lg, anak, muda, orang, tua, pd, ke, ln]","[pejabat, ngomong, kaya, gini, pdhl, takut, takut, kepilih, lg, anak, muda, orang, tua, pd, ln]",jabat ngomong kaya gin pdhl takut takut pilih lg anak muda orang tua pd ln,🤣🤣,,#kaburajadulu,2,0,1
Gas jepang ya @errrrrrrrrrrr____,"[gas, jepang, ya]","[gas, jepang]",gas jepang,,@errrrrrrrrrrr____,,0,1,0
kalau kamu tetap saja menaikkan harga gas... dimana rasa kemanusiaan kamu,"[kalau, kamu, tetap, saja, menaikkan, harga, gas, dimana, rasa, kemanusiaan, kamu]","[kalau, kamu, tetap, menaikkan, harga, gas, rasa, kemanusiaan, kamu]",kalau kamu tetap naik harga gas rasa manusia kamu,,,,0,0,0
tuntut nasionalisme...pejabatnya korup melulu..hancur bangsa ini kalau semuanya tidak diperbaiki ..sedih tapi semangatlah gaskan young man.,"[tuntut, nasionalisme, pejabatnya, korup, melulu, hancur, bangsa, ini, kalau, semuanya, tidak, diperbaiki, sedih, tapi, semangatlah, gaskan, young, man]","[tuntut, nasionalisme, pejabatnya, korup, melulu, hancur, bangsa, kalau, semuanya, diperbaiki, sedih, semangatlah, gaskan, young, man]",tuntut nasionalisme jabat korup melulu hancur bangsa kalau semua baik sedih semangat gas young man,,,,0,0,0
yo kita kabur dlu aja,"[yo, kita, kabur, dlu, aja]","[yo, kabur, dlu]",yo kabur dlu,,,,0,0,0
ngapain dengar kata bahlul,"[ngapain, dengar, kata, bahlul]","[ngapain, dengar, kata, bahlul]",ngapain dengar kata bahlul,,,,0,0,0
@Adrian 🇲🇨🇰🇷 gaeo yan😭,"[gaeo, yan]","[gaeo, yan]",gaeo yan,😭,@adrian,,1,1,0
kasih faham 😋,"[kasih, faham]","[kasih, faham]",kasih faham,😋,,,1,0,0
bahlul,[bahlul],[bahlul],bahlul,,,,0,0,0
"Pemerinta wawaw aja tp ga bneran mikirin solusi, wajar dung rakyat milih isi kesejahtwraan perut dan mental biar bisa healing","[pemerinta, wawaw, aja, tp, ga, bneran, mikirin, solusi, wajar, dung, rakyat, milih, isi, kesejahtwraan, perut, dan, mental, biar, bisa, healing]","[pemerinta, wawaw, tp, bneran, mikirin, solusi, wajar, dung, rakyat, milih, isi, kesejahtwraan, perut, mental, biar, healing]",pemerinta wawaw tp bneran mikirin solusi wajar dung rakyat milih isi kesejahtwraan perut mental biar healing,,,,0,0,0
13 .menjalankan amanah dedikasi dan pengabdian kpd masyarakat dgn baik setulus hati dan sepenuh hati utk membawa negara dan bangsa ini sbg mana tujuan dan cita cita kemerdekaan .,"[menjalankan, amanah, dedikasi, dan, pengabdian, kpd, masyarakat, dgn, baik, setulus, hati, dan, sepenuh, hati, utk, membawa, negara, dan, bangsa, ini, sbg, mana, tujuan, dan, cita, cita, kemerdekaan]","[menjalankan, amanah, dedikasi, pengabdian, kpd, masyarakat, baik, setulus, hati, sepenuh, hati, utk, membawa, negara, bangsa, sbg, mana, tujuan, cita, cita, kemerdekaan]",jalan amanah dedikasi abdi kpd masyarakat baik tulus hati sepenuh hati utk bawa negara bangsa sbg mana tuju cita cita merdeka,,,,0,0,0
wkwkwk,[wkwkwk],[wkwkwk],wkwkwk,,,,0,0,0
"suami saya hanya
tenga kerja kontrak
mulai bulan kemarin
gaji dipotong 1jt lebih
gilak..
sya gk milih bapak lho kmren
😳","[suami, saya, hanya, tenga, kerja, kontrak, mulai, bulan, kemarin, gaji, dipotong, jt, lebih, gilak, sya, gk, milih, bapak, lho, kmren]","[suami, hanya, tenga, kerja, kontrak, mulai, bulan, kemarin, gaji, dipotong, jt, lebih, gilak, sya, gk, milih, bapak, lho, kmren]",suami hanya tenga kerja kontrak mulai bulan kemarin gaji potong jt lebih gilak sya gk milih bapak lho kmren,😳,,,1,0,0
12 utk negara dan bangsa INDONESIA . yg KAMI ragukan adalah para pemimpin yg ada di bawahnya apakah mereka dapat melaksanakan perintah Bapak Presiden PRABOWO SUBIANTO dgn baik dan bisa menjalankan,"[utk, negara, dan, bangsa, indonesia, yg, kami, ragukan, adalah, para, pemimpin, yg, ada, di, bawahnya, apakah, mereka, dapat, melaksanakan, perintah, bapak, presiden, prabowo, subianto, dgn, baik, dan, bisa, menjalankan]","[utk, negara, bangsa, indonesia, ragukan, para, pemimpin, di, bawahnya, mereka, melaksanakan, perintah, bapak, presiden, prabowo, subianto, baik, bisa, menjalankan]",utk negara bangsa indonesia ragu para pimpin di bawah mereka laksana perintah bapak presiden prabowo subianto baik bisa jalan,,,,0,0,0
makanya kasih kerjaan yg layak gaji yg layak bahlil baru bicara nasionalisme🤣,"[makanya, kasih, kerjaan, yg, layak, gaji, yg, layak, bahlil, baru, bicara, nasionalisme]","[makanya, kasih, kerjaan, layak, gaji, layak, bahlil, baru, bicara, nasionalisme]",makanya kasih kerja layak gaji layak bahlil baru bicara nasionalisme,🤣,,,1,0,0
yg pasti sy meremehkan kamu Lil...,"[yg, pasti, sy, meremehkan, kamu, lil]","[sy, meremehkan, kamu, lil]",sy remeh kamu lil,,,,0,0,0
"11 , gubernur sampai ke Presiden namaun KAMI sangat percaya kepada Bpk. Presiden PRABOWO SUBIANTO akan kebenaran keikhlasan dan ketulusan serta dedikasi dan jiwa pengabdianya yg tinggi utk negara","[gubernur, sampai, ke, presiden, namaun, kami, sangat, percaya, kepada, bpk, presiden, prabowo, subianto, akan, kebenaran, keikhlasan, dan, ketulusan, serta, dedikasi, dan, jiwa, pengabdianya, yg, tinggi, utk, negara]","[gubernur, ke, presiden, namaun, sangat, percaya, bpk, presiden, prabowo, subianto, kebenaran, keikhlasan, ketulusan, dedikasi, jiwa, pengabdianya, tinggi, utk, negara]",gubernur ke presiden namaun sangat percaya bpk presiden prabowo subianto benar ikhlas tulus dedikasi jiwa pengabdianya tinggi utk negara,,,,0,0,0
"spill cara pindah negara dengan kasih ongkos gimana,karena saya sudah jompo diumur 40th ngk punya kerjaan jd pengen aja pindah ke jepang mungking dg bonus 500jt yu gmna","[spill, cara, pindah, negara, dengan, kasih, ongkos, gimana, karena, saya, sudah, jompo, diumur, th, ngk, punya, kerjaan, jd, pengen, aja, pindah, ke, jepang, mungking, dg, bonus, jt, yu, gmna]","[spill, cara, pindah, negara, kasih, ongkos, gimana, saya, jompo, diumur, th, ngk, punya, kerjaan, pengen, pindah, jepang, mungking, dg, bonus, jt, yu, gmna]",spill cara pindah negara kasih ongkos gimana saya jompo umur th ngk punya kerja ken pindah jepang mungking dg bonus jt yu gmna,,,,0,0,0
🙃🙃🙃 hmmm ini siapa sich guys?,"[hmmm, ini, siapa, sich, guys]","[hmmm, siapa, sich, guys]",hmmm siapa sich guys,🙃🙃🙃,,,3,0,0
mnding suka kabur ngapain kita hidup di negeri konoha yg berantakan ini,"[mnding, suka, kabur, ngapain, kita, hidup, di, negeri, konoha, yg, berantakan, ini]","[mnding, suka, kabur, ngapain, hidup, negeri, konoha, berantakan]",mnding suka kabur ngapain hidup negeri konoha beranta,,,,0,0,0
😂😂😂😂😂 pejabat t0l0l😒😒😒,"[pejabat, tll]","[pejabat, tll]",jabat tll,😂😂😂😂😂😒😒😒,,,8,0,0
"10 bila ada korupsi , kemaksiatan , kemungkaran , ketidak adilan dll maka Seorang kepala desa akan memoertanggung jawabkan dosa ribuan masyarakat yg dia pimpinya , begitu pula Camat ,bupati )wali kota","[bila, ada, korupsi, kemaksiatan, kemungkaran, ketidak, adilan, dll, maka, seorang, kepala, desa, akan, memoertanggung, jawabkan, dosa, ribuan, masyarakat, yg, dia, pimpinya, begitu, pula, camat, bupati, wali, kota]","[bila, korupsi, kemaksiatan, kemungkaran, ketidak, adilan, maka, seorang, kepala, desa, memoertanggung, jawabkan, dosa, ribuan, masyarakat, pimpinya, pula, camat, bupati, wali, kota]",bila korupsi maksiat mungkar tidak adil maka orang kepala desa memoertanggung jawab dosa ribu masyarakat pimpinya pula camat bupati wali kota,,,,0,0,0
kami juga meragukan nasionalisme ada sebagai pejabat negara demi rakyat😂😂😂,"[kami, juga, meragukan, nasionalisme, ada, sebagai, pejabat, negara, demi, rakyat]","[juga, meragukan, nasionalisme, sebagai, pejabat, negara, rakyat]",juga ragu nasionalisme bagai jabat negara rakyat,😂😂😂,,,3,0,0
Nasionalis tidak penting urusan perut dan pekerjaan lebih penting,"[nasionalis, tidak, penting, urusan, perut, dan, pekerjaan, lebih, penting]","[nasionalis, penting, urusan, perut, pekerjaan, lebih, penting]",nasionalis penting urus perut kerja lebih penting,,,,0,0,0
9 yg sadar dan menyadari bahwa jabatan itu amanah TUHAN yg kelak akan di pertanggung jawabkan misalnya Seorg kepala desa bertanggung jawab lahir bathin terhadap ribuan masyarakat yg dia pimpinya dan,"[yg, sadar, dan, menyadari, bahwa, jabatan, itu, amanah, tuhan, yg, kelak, akan, di, pertanggung, jawabkan, misalnya, seorg, kepala, desa, bertanggung, jawab, lahir, bathin, terhadap, ribuan, masyarakat, yg, dia, pimpinya, dan]","[sadar, menyadari, jabatan, amanah, tuhan, kelak, di, pertanggung, jawabkan, misalnya, seorg, kepala, desa, bertanggung, jawab, lahir, bathin, ribuan, masyarakat, pimpinya]",sadar sadar jabat amanah tuhan kelak di tanggung jawab misal seorg kepala desa tanggung jawab lahir bathin ribu masyarakat pimpinya,,,,0,0,0
"gak ngoros lul,yg penting bs jadi kaya jadi warga negara d eropa😂","[gak, ngoros, lul, yg, penting, bs, jadi, kaya, jadi, warga, negara, d, eropa]","[ngoros, lul, penting, bs, kaya, warga, negara, d, eropa]",ngoros lul penting bs kaya warga negara d eropa,😂,,,1,0,0
biarin gw pindah negara orang hukum ny indo aja kyk orang tolo* mau duit doang mata duitan,"[biarin, gw, pindah, negara, orang, hukum, ny, indo, aja, kyk, orang, tolo, mau, duit, doang, mata, duitan]","[biarin, gw, pindah, negara, orang, hukum, ny, indo, kyk, orang, tolo, mau, duit, doang, mata, duitan]",biarin gw pindah negara orang hukum ny indo kyk orang tolo mau duit doang mata duit,,,,0,0,0
orang ini ngomong apa ngelantur ya,"[orang, ini, ngomong, apa, ngelantur, ya]","[orang, ngomong, apa, ngelantur]",orang ngomong apa ngelantur,,,,0,0,0
ingfo loker ke China 😭,"[ingfo, loker, ke, china]","[ingfo, loker, china]",ingfo loker china,😭,,,1,0,0
#percumalaporpolisi,[],[],,,,#percumalaporpolisi,0,0,1
"8 hanya berlomba lomba mencari posisi dan jabatan utk memupuk kekayaan pribadi "" aji mungpung , mungpung selagi menjabat belum tentu periode berikutnya bisa menjabat ""hanya sedikit sekali pemimpin yg","[hanya, berlomba, lomba, mencari, posisi, dan, jabatan, utk, memupuk, kekayaan, pribadi, aji, mungpung, mungpung, selagi, menjabat, belum, tentu, periode, berikutnya, bisa, menjabat, hanya, sedikit, sekali, pemimpin, yg]","[berlomba, lomba, mencari, posisi, jabatan, utk, memupuk, kekayaan, pribadi, aji, mungpung, mungpung, menjabat, tentu, periode, berikutnya, menjabat, sedikit, sekali, pemimpin]",lomba lomba cari posisi jabat utk pupuk kaya pribadi aji mungpung mungpung jabat tentu periode ikut jabat sedikit sekali pimpin,,,,0,0,0
kerja di indo terlalu amat sangat bnyk peraturan di luar negeri yg penting ada niat kemauan kerja masih sehat umur berapapun bisa kerja,"[kerja, di, indo, terlalu, amat, sangat, bnyk, peraturan, di, luar, negeri, yg, penting, ada, niat, kemauan, kerja, masih, sehat, umur, berapapun, bisa, kerja]","[kerja, indo, terlalu, sangat, bnyk, peraturan, luar, negeri, penting, niat, kemauan, kerja, sehat, umur, berapapun, kerja]",kerja indo terlalu sangat bnyk atur luar negeri penting niat mau kerja sehat umur berapa kerja,,,,0,0,0
giliran pejabat korupsi bahlil kok ngk teriak😅,"[giliran, pejabat, korupsi, bahlil, kok, ngk, teriak]","[giliran, pejabat, korupsi, bahlil, ngk, teriak]",gilir jabat korupsi bahlil ngk teriak,😅,,,1,0,0
baguslah bepikir pindah ke luar negeri daripada bepikir ngakalngakalin gas 3kg?,"[baguslah, bepikir, pindah, ke, luar, negeri, daripada, bepikir, ngakalngakalin, gas, kg]","[baguslah, bepikir, pindah, luar, negeri, bepikir, ngakalngakalin, gas, kg]",bagus bepikir pindah luar negeri bepikir ngakalngakalin gas kg,,,,0,0,0
"gpp jg sih klo pd pindah
Indonesia jd g sumpek lg","[gpp, jg, sih, klo, pd, pindah, indonesia, jd, g, sumpek, lg]","[gpp, jg, klo, pd, pindah, indonesia, g, sumpek, lg]",gpp jg klo pd pindah indonesia g sumpek lg,,,,0,0,0
kalo di negeri sendiri byk pekerjaan dg gaji yg menjanjikan gak mgkn anak2 muda bangsa ini cari kerja diluar negeri.,"[kalo, di, negeri, sendiri, byk, pekerjaan, dg, gaji, yg, menjanjikan, gak, mgkn, anak, muda, bangsa, ini, cari, kerja, diluar, negeri]","[kalo, negeri, sendiri, byk, pekerjaan, dg, gaji, menjanjikan, mgkn, anak, muda, bangsa, cari, kerja, diluar, negeri]",kalo negeri sendiri byk kerja dg gaji janji mgkn anak muda bangsa cari kerja luar negeri,,,,0,0,0
7 pemerintahan desa dll. padahal instansi tsb yg l bersentuhan langsung kpd masyarakat di tingkat yg paling bawah dan KAMI berpendapat bahwa kebanyakan pemimpin para pemimpin di negeri ini hanya,"[pemerintahan, desa, dll, padahal, instansi, tsb, yg, l, bersentuhan, langsung, kpd, masyarakat, di, tingkat, yg, paling, bawah, dan, kami, berpendapat, bahwa, kebanyakan, pemimpin, para, pemimpin, di, negeri, ini, hanya]","[pemerintahan, desa, padahal, instansi, tsb, l, bersentuhan, langsung, kpd, masyarakat, tingkat, paling, bawah, kami, berpendapat, kebanyakan, pemimpin, pemimpin, negeri, hanya]",perintah desa padahal instansi tsb l sentuh langsung kpd masyarakat tingkat paling bawah kami dapat banyak pimpin pimpin negeri hanya,,,,0,0,0
"nasionalisme kyk gmn y pak,, cri kerja susah ,dibatasi umur,, kita yg berjuang tiap hari y biar bisa makan,,, coba dri pemerintah sendiri kebijakannya gmn","[nasionalisme, kyk, gmn, y, pak, cri, kerja, susah, dibatasi, umur, kita, yg, berjuang, tiap, hari, y, biar, bisa, makan, coba, dri, pemerintah, sendiri, kebijakannya, gmn]","[nasionalisme, kyk, gmn, y, pak, cri, kerja, susah, dibatasi, umur, berjuang, tiap, hari, y, biar, makan, coba, dri, pemerintah, sendiri, kebijakannya, gmn]",nasionalisme kyk gmn y pak cri kerja susah batas umur juang tiap hari y biar makan coba dri perintah sendiri bijak gmn,,,,0,0,0
"baskara : semua bisa kabur, cari negara loo👀","[baskara, semua, bisa, kabur, cari, negara, loo]","[baskara, semua, kabur, cari, negara, loo]",baskara semua kabur cari negara loo,👀,,,1,0,0
💯💯💯,[],[],,💯💯💯,,,3,0,0
"dari pada d paksa nyari kerja d Indonesia, tetap gak ada kemajuan,yg ada nyiksa batin,dan buang2 waktu🗿","[dari, pada, d, paksa, nyari, kerja, d, indonesia, tetap, gak, ada, kemajuan, yg, ada, nyiksa, batin, dan, buang, waktu]","[pada, d, paksa, nyari, kerja, d, indonesia, tetap, kemajuan, nyiksa, batin, buang, waktu]",pada d paksa nyari kerja d indonesia tetap maju nyiksa batin buang waktu,🗿,,,1,0,0
"6 benar benar tulus mengabdi utk memakmurkan dan mensejahterakan rakyatnya, korupsi begitu masif terjadi di mana mana sampai ketingkat desa desa baik dari sektor pendidikan , dinas sosial ,","[benar, benar, tulus, mengabdi, utk, memakmurkan, dan, mensejahterakan, rakyatnya, korupsi, begitu, masif, terjadi, di, mana, mana, sampai, ketingkat, desa, desa, baik, dari, sektor, pendidikan, dinas, sosial]","[benar, benar, tulus, mengabdi, utk, memakmurkan, mensejahterakan, rakyatnya, korupsi, masif, terjadi, mana, mana, ketingkat, desa, desa, baik, sektor, pendidikan, dinas, sosial]",benar benar tulus abdi utk makmur sejahtera rakyat korupsi masif jadi mana mana tingkat desa desa baik sektor didik dinas sosial,,,,0,0,0
🥰,[],[],,🥰,,,1,0,0
